Feature	Gain	Cover	Frequency
Master_cuenta_estado	0.0583721134271952	NA	0.0011969111969112
mcaja_ahorro_Paquete	0.0336958166029167	NA	0.00525096525096525
tmovimientos_ultimos90dias	0.0327360328799425	NA	0.00675675675675676
mcuenta_corriente_Paquete__max	0.0313968227563219	NA	0.00378378378378378
mdescubierto_preacordado	0.028312361975545	NA	0.00173745173745174
mcaja_ahorro_Paquete__min	0.0242170587116612	NA	0.0066023166023166
ttarjeta_visa	0.0221990321634149	NA	0.000501930501930502
mtarjeta_visa_consumo	0.0216775172731136	NA	0.00401544401544402
mpasivos_margen	0.020272635945726	NA	0.00455598455598456
mcuentas_saldo	0.0194004290555802	NA	0.00606177606177606
mtarjeta_visa_consumo__min	0.0162413411996869	NA	0.0033976833976834
ctarjeta_visa_transacciones	0.014356697077378	NA	0.00420849420849421
mcuenta_corriente_Paquete__min	0.0133761438477089	NA	0.0049034749034749
Visa_mconsumototal	0.0126573627996063	NA	0.00374517374517375
mcaja_ahorro_Paquete__max	0.0114250742580904	NA	0.00548262548262548
Visa_Finiciomora	0.0107592773652649	NA	0.00351351351351351
ttarjeta_master__tend	0.010587435379174	NA	0.000617760617760618
mcuentas_saldo__max	0.0101789040012883	NA	0.00432432432432432
tmovimientos_ultimos90dias__min	0.00954875229116608	NA	0.00366795366795367
Visa_mfinanciacion_limite	0.00920621770469999	NA	0.00393822393822394
ctarjeta_debito_transacciones	0.00910177528864155	NA	0.00227799227799228
Visa_msaldototal	0.00904445032198941	NA	0.00343629343629344
mdescubierto_preacordado__min	0.00900997242954875	NA	0.0016988416988417
tplan_sueldo	0.00882857006646055	NA	0.00254826254826255
Visa_mpagominimo__tend	0.0085722941479811	NA	0.00409266409266409
mcuenta_corriente_Paquete	0.00833121491111178	NA	0.00644787644787645
mplan_sueldo	0.00797661127944791	NA	0.00343629343629344
mprestamos_personales__max	0.00746432604233937	NA	0.00571428571428571
ttarjeta_visa__tend	0.00739546536200982	NA	0.0016988416988417
tmovimientos_ultimos90dias__tend	0.00738827305185479	NA	0.00563706563706564
ctarjeta_visa_transacciones__min	0.00729453334008301	NA	0.00316602316602317
mplan_sueldo__min	0.00674123852497491	NA	0.0028957528957529
Visa_Finiciomora__max	0.00658019410746682	NA	0.00173745173745174
Visa_mpagospesos	0.00655973635928269	NA	0.00467181467181467
tmovimientos_ultimos90dias__max	0.00634873643369032	NA	0.0032046332046332
mprestamos_personales	0.0063135370274388	NA	0.0050965250965251
Visa_cuenta_estado	0.0057725719789103	NA	0.00154440154440154
Visa_tconsumos	0.00571235381284834	NA	0.00351351351351351
Visa_msaldopesos	0.00566826449871618	NA	0.00432432432432432
mrentabilidad	0.00527764753660252	NA	0.00501930501930502
mdescubierto_preacordado__tend	0.00519589477825387	NA	0.00262548262548263
marketing_coss_selling__tend	0.00498079958965373	NA	0.00482625482625483
Visa_mconsumospesos	0.00486549273783407	NA	0.00324324324324324
ttarjeta_visa_debitos_automaticos__tend	0.00481875028070891	NA	0.00366795366795367
Visa_marca_atraso__tend	0.00481124293397512	NA	0.00247104247104247
Visa_Finiciomora__min	0.00478242899571959	NA	0.000772200772200772
mpasivos_margen__max	0.00477705038911901	NA	0.00235521235521236
Visa_marca_atraso	0.004382597249211	NA	0.00177606177606178
Visa_cuenta_estado__max	0.00427970273992487	NA	0.00108108108108108
mcajeros_propio	0.004227541869875	NA	0.000772200772200772
ctarjeta_visa_transacciones__tend	0.00411082602970548	NA	0.00575289575289575
Visa_msaldodolares	0.0040795574977323	NA	0.00115830115830116
mcuentas_saldo__tend	0.00403940531644611	NA	0.00474903474903475
Master_cuenta_estado__max	0.0038309078419811	NA	0.000965250965250965
mcuentas_saldo__min	0.00381507048524573	NA	0.00486486486486486
mtarjeta_visa_consumo__tend	0.00371571520970841	NA	0.0033976833976834
mactivos_margen__max	0.00368777942781214	NA	0.00586872586872587
ttarjeta_master	0.00365508989241478	NA	0.000579150579150579
mpasivos_margen__tend	0.00351403262213372	NA	0.00370656370656371
Visa_mpagominimo	0.00350780018230604	NA	0.00482625482625483
Master_fechaalta	0.00347223290753641	NA	0.00413127413127413
mplan_sueldo__max	0.00326794105113256	NA	0.00467181467181467
Master_Finiciomora__max	0.00326633426224296	NA	0.00150579150579151
Visa_Finiciomora__tend	0.00318240439305714	NA	0.000810810810810811
cextraccion_autoservicio	0.00307922249951559	NA	0.00138996138996139
Master_marca_atraso__tend	0.00306469058186778	NA	0.00239382239382239
ttarjeta_visa__min	0.00298609091923439	NA	0.000231660231660232
mcuenta_corriente_Paquete__tend	0.00290593804517682	NA	0.00463320463320463
mplan_sueldo__tend	0.00289508652705332	NA	0.00552123552123552
mpasivos_margen__min	0.00287121991131333	NA	0.00301158301158301
mrentabilidad_annual__tend	0.0028649025305726	NA	0.00517374517374517
ccomisiones_mantenimiento__tend	0.00280092469483991	NA	0.00467181467181467
tplan_sueldo__min	0.00275162628362872	NA	0.00146718146718147
tcaja_ahorro__tend	0.00271844238053563	NA	0.00393822393822394
cprestamos_personales	0.00264267651593997	NA	0.00355212355212355
mcomisiones_mantenimiento	0.00258106238049508	NA	0.00409266409266409
Master_Finiciomora	0.00256365864962787	NA	0.00239382239382239
tcaja_ahorro__max	0.00256269700764447	NA	0.00142857142857143
mttarjeta_visa_debitos_automaticos__tend	0.00256013047772541	NA	0.00386100386100386
mcaja_ahorro_Paquete__tend	0.00252727392293694	NA	0.00343629343629344
