"max_depth","lambda","eta","subsample","min_child_weight","colsample_bytree","alpha","gen","prob_corte","fitness"
48,0.67,0.387,0.8,6,0.3,0.5,1,0.0096,3949200
3,0.57,0.364,0.9,7,0.5,0.56,1,0.0472,4828200
31,0.65,0.418,0.5,6,0.2,0.53,1,0.0493,3424500
24,0.51,0.353,0.5,6,0.7,0.61,1,0.0192,3478800
22,0.62,0.1,0.8,4,0.8,0.59,1,0.0247,4825200
47,0.6,0.148,0.6,5,0.7,0.55,1,0.0238,4594800
22,0.62,0.364,0.6,4,0.8,0.59,2,0.0068,4043700
3,0.57,0.1,0.8,7,0.5,0.56,2,0.0573,5079000
22,0.57,0.364,0.9,4,0.5,0.64,2,0.005,4298700
3,0.62,0.1,0.8,7,0.3,0.59,2,0.0561,4890300
47,0.6,0.441,0.6,5,0.8,0.59,2,0.0084,3627600
48,0.62,0.148,0.8,4,0.7,0.55,2,0.0111,4537800
22,0.62,0.1,0.8,4,0.8,0.59,2,0.0227,4779000
47,0.6,0.148,0.6,5,0.7,0.55,2,0.0242,4557600
3,0.62,0.1,0.6,7,0.8,0.59,3,0.0555,4929300
39,0.62,0.1,0.8,4,0.3,0.59,3,0.0236,4813200
22,0.62,0.1,0.8,7,0.3,0.59,3,0.0355,4750200
3,0.66,0.1,0.8,4,0.8,0.59,3,0.06,4970700
22,0.62,0.1,0.8,4,0.3,0.51,3,0.0334,4791900
3,0.62,0.1,0.8,7,0.3,0.59,3,0.0554,5077800
22,0.62,0.1,0.8,4,0.8,0.59,3,0.0266,4788600
3,0.62,0.1,0.6,2,0.8,0.59,4,0.0558,4955100
13,0.62,0.1,0.8,7,0.3,0.59,4,0.0539,5013000
3,0.62,0.279,0.8,7,0.8,0.59,4,0.0593,4833600
3,0.67,0.1,0.6,7,0.3,0.59,4,0.0615,5009100
3,0.6,0.1,0.8,7,0.3,0.59,4,0.0558,4953600
3,0.61,0.1,0.8,4,0.8,0.59,4,0.0531,4907700
3,0.62,0.1,0.8,7,0.3,0.59,4,0.0604,5050200
3,0.66,0.1,0.8,4,0.8,0.59,4,0.0545,5072400
3,0.62,0.1,0.8,7,0.3,0.64,5,0.0548,5111700
13,0.69,0.1,0.8,7,0.3,0.59,5,0.0463,4974300
3,0.62,0.1,0.8,7,0.3,0.59,5,0.0527,5024700
3,0.66,0.1,0.8,4,0.4,0.59,5,0.0546,5046300
13,0.62,0.1,0.8,4,0.3,0.59,5,0.0321,4927200
3,0.66,0.1,0.8,7,0.3,0.59,5,0.0511,4980600
13,0.62,0.1,0.8,7,0.3,0.59,5,0.0378,4934100
3,0.68,0.1,0.8,4,0.4,0.64,6,0.0568,4944000
3,0.62,0.1,0.8,9,0.3,0.59,6,0.0613,5040900
3,0.62,0.328,0.8,7,0.3,0.64,6,0.0585,5008200
3,0.62,0.038,0.8,7,0.3,0.59,6,0.0644,4680600
3,0.62,0.1,0.5,7,0.3,0.64,6,0.062,4980300
3,0.62,0.1,0.8,6,0.3,0.59,6,0.054,4978200
3,0.62,0.1,0.8,7,0.3,0.59,6,0.0503,5044800
3,0.62,0.1,0.8,7,0.3,0.64,6,0.0579,5035500
3,0.62,0.1,0.8,9,0.6,0.59,7,0.0604,5074200
3,0.62,0.1,0.8,7,0.3,0.58,7,0.0543,5045400
3,0.62,0.342,0.8,7,0.3,0.64,7,0.0697,4776300
3,0.62,0.1,0.8,7,0.2,0.59,7,0.0535,4899300
3,0.62,0.1,0.7,7,0.3,0.64,7,0.057,5129700
3,0.55,0.1,0.8,9,0.3,0.59,7,0.0597,5104800
3,0.62,0.1,0.8,7,0.3,0.64,7,0.0563,4916400
3,0.62,0.1,0.8,9,0.3,0.59,7,0.0573,5043300
3,0.62,0.214,0.7,7,0.3,0.59,8,0.0531,4927800
32,0.55,0.1,0.8,9,0.3,0.64,8,0.0461,4908000
47,0.62,0.1,0.8,9,0.3,0.59,8,0.0293,4869600
3,0.55,0.1,0.9,7,0.3,0.64,8,0.0597,4998000
37,0.55,0.1,0.8,9,0.3,0.59,8,0.0333,4981200
3,0.64,0.1,0.7,7,0.3,0.64,8,0.054,4978500
3,0.55,0.1,0.8,9,0.3,0.59,8,0.0547,5025000
3,0.62,0.1,0.7,7,0.3,0.64,8,0.0538,5007600
3,0.55,0.1,0.9,7,0.8,0.64,9,0.0541,4911600
3,0.55,0.1,0.8,9,0.7,0.59,9,0.0588,5022000
3,0.55,0.1,0.8,3,0.3,0.59,9,0.0534,4977000
3,0.58,0.1,0.9,9,0.3,0.64,9,0.0498,4984800
3,0.62,0.1,0.6,9,0.3,0.59,9,0.0539,5010300
3,0.55,0.1,0.8,7,0.4,0.64,9,0.0531,5018100
3,0.62,0.1,0.7,7,0.3,0.64,9,0.0562,5024100
3,0.55,0.1,0.8,9,0.3,0.59,9,0.0519,5020800
20,0.62,0.1,0.8,9,0.3,0.59,10,0.0352,4858800
3,0.55,0.1,0.7,4,0.3,0.64,10,0.0584,5004900
3,0.62,0.1,0.7,9,0.9,0.64,10,0.0559,4962000
3,0.55,0.1,0.8,7,0.3,0.54,10,0.0549,5019000
10,0.62,0.1,0.8,9,0.3,0.59,10,0.0413,4926300
3,0.55,0.092,0.7,7,0.3,0.64,10,0.0563,4973100
3,0.62,0.1,0.7,7,0.3,0.64,10,0.0486,4976700
3,0.55,0.1,0.8,9,0.3,0.59,10,0.0533,5047500
3,0.58,0.1,0.8,7,0.3,0.59,11,0.0627,4962300
49,0.55,0.1,0.8,9,0.3,0.54,11,0.0265,4826400
3,0.55,0.1,0.8,9,0.3,0.6,11,0.0528,4956900
3,0.55,0.46,0.7,4,0.3,0.64,11,0.0734,4769100
3,0.55,0.1,0.8,7,0.3,0.54,11,0.0526,4997400
3,0.59,0.1,0.7,4,0.3,0.64,11,0.0558,5097000
3,0.55,0.1,0.7,4,0.3,0.64,11,0.0626,5046900
3,0.55,0.1,0.7,7,0.3,0.55,12,0.0508,5095200
3,0.55,0.1,0.7,4,0.3,0.64,12,0.0485,4944900
3,0.55,0.1,0.6,7,0.3,0.54,12,0.0595,4992600
3,0.61,0.1,0.7,4,0.3,0.64,12,0.0581,5041800
23,0.59,0.1,0.7,4,0.3,0.64,12,0.0249,4827600
3,0.55,0.1,0.7,4,0.3,0.62,12,0.0632,5003700
3,0.59,0.1,0.7,4,0.3,0.64,12,0.0535,4965600
3,0.55,0.1,0.7,4,0.3,0.64,13,0.0578,5028900
3,0.61,0.1,0.7,7,0.3,0.62,13,0.0615,4993500
3,0.61,0.1,0.9,4,0.3,0.64,13,0.0551,5070900
3,0.55,0.1,0.9,4,0.3,0.62,13,0.0564,5035200
3,0.55,0.1,0.7,4,0.4,0.62,13,0.0577,4895100
3,0.53,0.1,0.7,7,0.3,0.55,13,0.0512,5064300
3,0.55,0.1,0.7,7,0.3,0.55,13,0.063,4962600
3,0.55,0.1,0.7,4,0.3,0.62,13,0.0505,5045100
3,0.53,0.1,0.7,4,0.3,0.59,14,0.0587,4997700
3,0.55,0.074,0.7,7,0.3,0.62,14,0.0568,4980600
3,0.55,0.394,0.7,7,0.3,0.62,14,0.0518,4880700
3,0.53,0.1,0.7,1,0.3,0.55,14,0.0605,4965600
3,0.61,0.1,0.9,4,0.3,0.52,14,0.0575,4957500
3,0.55,0.1,0.7,6,0.3,0.62,14,0.0614,4999800
3,0.61,0.1,0.9,4,0.3,0.64,14,0.0508,4936500
3,0.55,0.1,0.7,4,0.3,0.62,14,0.0544,5007000
3,0.55,0.47,0.7,4,0.3,0.62,15,0.0608,4500900
3,0.55,0.1,0.7,6,0.3,0.55,15,0.0528,5053500
3,0.53,0.1,0.5,6,0.3,0.59,15,0.0603,4903800
3,0.55,0.1,0.7,4,0.3,0.56,15,0.054,5023800
3,0.55,0.1,0.7,6,0.3,0.62,15,0.0606,5044800
3,0.55,0.079,0.7,4,0.3,0.62,15,0.0578,4978200
3,0.55,0.1,0.7,4,0.3,0.62,15,0.0605,4987800
