experimento	metrica	metrica2	tiempo	parametros	fecha	clase	programa	algoritmo	busqueda	estimacion	dataset_train	dataset_test	observaciones
999	5458500	0.9213166	23.51874	"num_iterations=282, init_score=0.005, bagging_fraction=1, feature_fraction=0.300966366658785, learning_rate=0.00480114553818008, min_data_in_leaf=66, num_leaves=478, lambda_l1=0.691594630645328, min_gain_to_split=0.678784428363361, max_bin=31"	20181203 202734	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0229483894314758
999	5442000	0.9233671	77.72424	"num_iterations=848, init_score=0.005, bagging_fraction=1, feature_fraction=0.305843015877255, learning_rate=0.00103484067866389, min_data_in_leaf=70, num_leaves=369, lambda_l1=0.686292351667517, min_gain_to_split=0.568068539500926, max_bin=31"	20181203 201119	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0152005310991689
999	5424600	0.9220022	22.74273	"num_iterations=172, init_score=0.005, bagging_fraction=1, feature_fraction=0.374267369059877, learning_rate=0.0096571658344155, min_data_in_leaf=33, num_leaves=54, lambda_l1=0.863596920631028, min_gain_to_split=0.959811928665546, max_bin=31"	20181203 205852	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0189578258040999
999	5411100	0.9212431	31.02525	"num_iterations=285, init_score=0.005, bagging_fraction=1, feature_fraction=0.274395358413213, learning_rate=0.00373680762777517, min_data_in_leaf=68, num_leaves=436, lambda_l1=0.499565404575693, min_gain_to_split=0.336184388827496, max_bin=31"	20181203 211335	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0179780560018732
999	5399100	0.9220022	40.84525	"num_iterations=242, init_score=0.005, bagging_fraction=1, feature_fraction=0.236911881327506, learning_rate=0.00309282804118329, min_data_in_leaf=46, num_leaves=441, lambda_l1=0.571465866238862, min_gain_to_split=0.313594881664482, max_bin=31"	20181203 202025	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0150427345259437
999	5398800	0.9186693	27.09928	"num_iterations=135, init_score=0.005, bagging_fraction=1, feature_fraction=0.389931770438628, learning_rate=0.00866298313841886, min_data_in_leaf=51, num_leaves=344, lambda_l1=0.110330582376405, min_gain_to_split=0.957445225283407, max_bin=31"	20181203 211615	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0157005495997218
999	5390400	0.9218855	78.83793	"num_iterations=1027, init_score=0.005, bagging_fraction=1, feature_fraction=0.223911237684993, learning_rate=0.000703079010663596, min_data_in_leaf=75, num_leaves=465, lambda_l1=0.551068885862042, min_gain_to_split=0.838793256629567, max_bin=31"	20181203 203605	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0150830107316846
999	5385300	0.9204021	14.05232	"num_iterations=255, init_score=0.005, bagging_fraction=1, feature_fraction=0.468554211291365, learning_rate=0.0323030151452702, min_data_in_leaf=55, num_leaves=12, lambda_l1=0.147002111347838, min_gain_to_split=0.14667419428607, max_bin=31"	20181203 211113	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0281990642225232
999	5385000	0.9225476	15.34332	"num_iterations=204, init_score=0.005, bagging_fraction=1, feature_fraction=0.146488405923402, learning_rate=0.032612157819791, min_data_in_leaf=100, num_leaves=10, lambda_l1=0.915563927101935, min_gain_to_split=0.712942815553701, max_bin=31"	20181203 211240	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0273254632330327
999	5383800	0.9218586	19.43491	"num_iterations=359, init_score=0.005, bagging_fraction=1, feature_fraction=0.429618277673811, learning_rate=0.011975567374546, min_data_in_leaf=97, num_leaves=12, lambda_l1=0.939106599470775, min_gain_to_split=0.815322576554598, max_bin=31"	20181203 202120	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0340677755613805
999	5381100	0.9214198	13.30331	"num_iterations=120, init_score=0.005, bagging_fraction=1, feature_fraction=0.406103456877017, learning_rate=0.0400498692201644, min_data_in_leaf=77, num_leaves=10, lambda_l1=0.836559269290674, min_gain_to_split=0.606615274306854, max_bin=31"	20181203 210744	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0244412848154768
999	5373600	0.922293	20.10133	"num_iterations=132, init_score=0.005, bagging_fraction=1, feature_fraction=0.325665185800023, learning_rate=0.00660888806196335, min_data_in_leaf=90, num_leaves=62, lambda_l1=0.938417354394772, min_gain_to_split=0.963246120513599, max_bin=31"	20181203 203328	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0152694223138618
999	5371800	0.9223731	16.83525	"num_iterations=128, init_score=0.005, bagging_fraction=1, feature_fraction=0.576689991185169, learning_rate=0.0165891219311526, min_data_in_leaf=41, num_leaves=10, lambda_l1=0.691213101083327, min_gain_to_split=0.688532310144235, max_bin=31"	20181203 205542	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0241195961215689
999	5364600	0.9204593	59.1447	"num_iterations=710, init_score=0.005, bagging_fraction=1, feature_fraction=0.0919931679350905, learning_rate=0.00151540054112394, min_data_in_leaf=30, num_leaves=476, lambda_l1=0.329584819429514, min_gain_to_split=0.623649702497186, max_bin=31"	20181203 202956	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0154236998611418
999	5358600	0.9225208	51.5987	"num_iterations=506, init_score=0.005, bagging_fraction=1, feature_fraction=0.340208327348366, learning_rate=0.00183051180665034, min_data_in_leaf=13, num_leaves=107, lambda_l1=0.879961274051424, min_gain_to_split=0.946001221415512, max_bin=31"	20181203 202308	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0152277448275095
999	5358600	0.9204486	12.19923	"num_iterations=137, init_score=0.005, bagging_fraction=1, feature_fraction=0.120000832681519, learning_rate=0.0142782298702988, min_data_in_leaf=94, num_leaves=101, lambda_l1=0.724311443216025, min_gain_to_split=0.994735336141954, max_bin=31"	20181203 202824	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0227935826065533
999	5342400	0.9200392	35.20119	"num_iterations=111, init_score=0.005, bagging_fraction=1, feature_fraction=0.188935291307964, learning_rate=0.0080880886620038, min_data_in_leaf=45, num_leaves=473, lambda_l1=0.228643278359455, min_gain_to_split=0.230720742717887, max_bin=31"	20181203 213201	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0150413090544486
999	5337900	0.9202511	15.28959	"num_iterations=138, init_score=0.005, bagging_fraction=1, feature_fraction=0.491558422437446, learning_rate=0.0245545566279474, min_data_in_leaf=89, num_leaves=17, lambda_l1=0.689673958838483, min_gain_to_split=0.951780954960401, max_bin=31"	20181203 211259	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0247384984538378
999	5337000	0.9200255	19.98336	"num_iterations=165, init_score=0.005, bagging_fraction=1, feature_fraction=0.121576838411265, learning_rate=0.015911701643762, min_data_in_leaf=42, num_leaves=449, lambda_l1=0.561337617041127, min_gain_to_split=0.236545824587652, max_bin=31"	20181203 204017	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0216372306008513
999	5336400	0.9221559	15.81368	"num_iterations=145, init_score=0.005, bagging_fraction=1, feature_fraction=0.724103335157479, learning_rate=0.0168732797881212, min_data_in_leaf=27, num_leaves=10, lambda_l1=0.353975095851633, min_gain_to_split=0.589619279138172, max_bin=31"	20181203 213022	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0227026789268373
999	5334000	0.9195235	14.81444	"num_iterations=114, init_score=0.005, bagging_fraction=1, feature_fraction=0.140777223963965, learning_rate=0.0309706209702221, min_data_in_leaf=55, num_leaves=442, lambda_l1=0.396213164399887, min_gain_to_split=0.635247823607787, max_bin=31"	20181203 213540	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0251947520052505
999	5331600	0.9235455	15.49171	"num_iterations=134, init_score=0.005, bagging_fraction=1, feature_fraction=0.548478482784481, learning_rate=0.0189725875181175, min_data_in_leaf=66, num_leaves=11, lambda_l1=0.760487879268662, min_gain_to_split=0.588401220344836, max_bin=31"	20181203 213519	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0272539161354125
999	5329200	0.9198036	37.38867	"num_iterations=287, init_score=0.005, bagging_fraction=1, feature_fraction=0.097933812772534, learning_rate=0.00313216010478742, min_data_in_leaf=97, num_leaves=424, lambda_l1=0.338827417254882, min_gain_to_split=0.0659961147172405, max_bin=31"	20181203 201850	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0151794070659856
999	5326200	0.921669	15.23314	"num_iterations=123, init_score=0.005, bagging_fraction=1, feature_fraction=0.336577600734271, learning_rate=0.0237893625272964, min_data_in_leaf=94, num_leaves=28, lambda_l1=0.708179649904869, min_gain_to_split=0.59172278527525, max_bin=31"	20181203 202153	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0187231952976142
999	5325900	0.9219883	11.9291	"num_iterations=59, init_score=0.005, bagging_fraction=1, feature_fraction=0.364310113587974, learning_rate=0.0353741853862125, min_data_in_leaf=47, num_leaves=10, lambda_l1=0.492487451990356, min_gain_to_split=0.152650841348491, max_bin=31"	20181203 211904	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0219646788315876
999	5318700	0.9192895	36.80288	"num_iterations=650, init_score=0.005, bagging_fraction=1, feature_fraction=0.0666716222381309, learning_rate=0.0129307908468677, min_data_in_leaf=100, num_leaves=322, lambda_l1=0.709633467459826, min_gain_to_split=0.278982479910242, max_bin=31"	20181203 210047	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0297106631508183
999	5318700	0.9203254	18.14195	"num_iterations=166, init_score=0.005, bagging_fraction=1, feature_fraction=0.141889718453418, learning_rate=0.00676907857597937, min_data_in_leaf=46, num_leaves=496, lambda_l1=0.76130512980759, min_gain_to_split=0.0312900294662019, max_bin=31"	20181203 210710	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.015322098929948
