"max_depth","lambda","eta","subsample","min_child_weight","colsample_bytree","alpha","prob_corte","gen","fitness"
49,0.56,0.497,0.3,7,0.9,0.51,0.041,1,-43058400
45,0.59,0.182,0.7,1,0.3,0.58,0.019,1,-43058400
39,0.56,0.274,0.3,2,0.7,0.51,0.057,1,-43058400
15,0.57,0.376,0.6,5,0.7,0.59,0.02,1,-43058400
39,0.59,0.182,0.7,1,0.6,0.58,0.019,2,-43058400
45,0.56,0.274,0.3,2,0.7,0.51,0.099,2,-43058400
49,0.56,0.274,0.3,2,0.7,0.51,0.041,2,-43058400
39,0.56,0.352,0.3,7,0.7,0.51,0.057,2,-43058400
39,0.56,0.497,0.3,2,0.9,0.52,0.041,2,-43058400
49,0.56,0.274,0.3,2,0.7,0.51,0.057,2,-43058400
39,0.52,0.274,0.3,1,0.3,0.51,0.057,2,-43058400
37,0.56,0.182,0.7,2,0.7,0.58,0.019,2,-43058400
45,0.59,0.182,0.7,1,0.3,0.58,0.019,2,-43058400
39,0.56,0.274,0.3,2,0.7,0.51,0.057,2,-43058400
49,0.56,0.274,0.3,2,0.6,0.51,0.099,3,-43058400
45,0.56,0.274,0.3,2,0.7,0.51,0.099,3,-43058400
39,0.56,0.274,0.3,2,0.7,0.51,0.019,3,-43058400
49,0.59,0.352,0.7,1,0.7,0.58,0.041,3,-43058400
49,0.59,0.182,0.3,2,0.6,0.52,0.019,3,-43058400
39,0.56,0.274,0.7,2,0.7,0.58,0.041,3,-43058400
49,0.52,0.274,0.3,2,0.7,0.51,0.041,3,-43058400
37,0.56,0.274,0.3,2,0.7,0.51,0.099,3,-43058400
49,0.56,0.274,0.3,2,0.7,0.51,0.041,3,-43058400
39,0.56,0.274,0.3,2,0.6,0.51,0.099,4,-43058400
45,0.56,0.274,0.3,2,0.7,0.51,0.099,4,-43058400
49,0.56,0.274,0.3,2,0.7,0.51,0.099,4,-43058400
39,0.56,0.352,0.3,2,0.7,0.51,0.019,4,-43058400
39,0.56,0.274,0.3,2,0.6,0.52,0.099,4,-43058400
49,0.56,0.274,0.3,2,0.7,0.51,0.019,4,-43058400
39,0.52,0.274,0.3,2,0.7,0.51,0.019,4,-43058400
37,0.56,0.274,0.3,2,0.7,0.51,0.099,4,-43058400
39,0.56,0.274,0.3,2,0.7,0.51,0.019,4,-43058400
