"max_depth","lambda","eta","subsample","min_child_weight","colsample_bytree","alpha","gen","prob_corte","fitness"
48,0.62,0.015,0.5,6,0.8,0.63,1,0.0459,6960300
3,0.6,0.057,0.7,4,0.6,0.51,1,0.0205,7007100
31,0.65,0.338,0.5,2,0.4,0.62,1,0.0062,4226700
24,0.65,0.11,0.8,10,0.8,0.58,1,0.0144,5780100
22,0.67,0.257,0.8,2,0.5,0.65,1,0.0052,5099700
47,0.64,0.348,0.7,3,0.7,0.61,1,0.0052,4803000
44,0.54,0.262,0.5,6,0.5,0.64,1,0.0079,4537200
19,0.56,0.302,0.6,3,0.9,0.5,1,0.0063,4434000
37,0.64,0.151,0.6,5,0.2,0.58,1,0.0128,5857500
5,0.7,0.218,0.8,2,0.7,0.62,1,0.0179,6080700
48,0.6,0.19,0.5,6,0.6,0.63,2,0.0107,4974300
3,0.62,0.057,0.8,4,0.8,0.51,2,0.0232,7060200
3,0.7,0.218,0.8,2,0.7,0.62,2,0.0284,6577800
12,0.6,0.057,0.7,4,0.6,0.51,2,0.0189,6722700
5,0.64,0.218,0.7,2,0.7,0.62,2,0.024,6050700
3,0.7,0.057,0.7,4,0.6,0.51,2,0.0234,7009200
3,0.6,0.164,0.5,4,0.8,0.51,2,0.0255,6792900
48,0.62,0.027,0.7,6,0.6,0.63,2,0.0265,6903000
3,0.57,0.015,0.5,6,0.8,0.51,2,0.0446,7034100
48,0.6,0.057,0.7,4,0.6,0.63,2,0.0153,6454500
48,0.62,0.015,0.5,6,0.8,0.63,2,0.0469,7052700
3,0.6,0.057,0.7,4,0.6,0.51,2,0.0224,7052100
24,0.62,0.057,0.7,4,0.8,0.51,3,0.0202,6237600
3,0.6,0.057,0.8,4,0.6,0.51,3,0.0215,7051500
48,0.6,0.015,0.5,4,0.8,0.63,3,0.0432,7062300
3,0.62,0.057,0.7,9,0.6,0.51,3,0.0224,7074600
21,0.62,0.057,0.8,6,0.8,0.51,3,0.0198,6372600
3,0.62,0.015,0.8,4,0.8,0.63,3,0.0458,7028400
3,0.6,0.314,0.7,4,0.8,0.51,3,0.0247,6232500
48,0.62,0.057,0.5,2,0.6,0.63,3,0.0132,6405300
48,0.62,0.219,0.5,6,0.8,0.51,3,0.0104,4798800
38,0.62,0.057,0.8,4,0.8,0.63,3,0.0151,6194700
48,0.62,0.015,0.5,6,0.8,0.63,3,0.0469,6995400
3,0.62,0.057,0.8,4,0.8,0.51,3,0.0243,7103100
48,0.62,0.015,0.9,4,0.8,0.51,4,0.0487,6792300
3,0.6,0.057,0.8,4,1,0.63,4,0.0251,7077000
48,0.62,0.015,0.8,4,0.8,0.63,4,0.0407,6878100
34,0.6,0.057,0.5,4,0.8,0.51,4,0.0201,6427200
49,0.62,0.057,0.8,4,0.8,0.51,4,0.0155,6306000
3,0.62,0.057,0.6,9,0.6,0.51,4,0.0228,7032300
3,0.62,0.057,0.6,4,0.8,0.51,4,0.028,7014300
3,0.62,0.057,0.8,5,0.6,0.51,4,0.0224,7040100
48,0.62,0.057,0.9,4,0.8,0.51,4,0.0144,6127500
3,0.62,0.015,0.5,4,0.8,0.63,4,0.0431,6999900
48,0.6,0.015,0.5,4,0.8,0.63,4,0.0453,6982800
3,0.62,0.057,0.8,4,0.8,0.51,4,0.024,7080900
3,0.6,0.057,0.8,10,1,0.63,5,0.0254,7064700
3,0.66,0.057,0.8,4,0.8,0.51,5,0.0237,7019100
3,0.65,0.057,0.8,4,1,0.63,5,0.0226,7068900
3,0.62,0.057,0.8,4,0.8,0.51,5,0.0239,7066500
3,0.6,0.057,0.8,9,0.6,0.51,5,0.0239,7065900
3,0.62,0.057,0.8,6,1,0.63,5,0.0243,7041600
3,0.62,0.057,0.8,6,0.8,0.51,5,0.0255,7010400
3,0.62,0.271,0.8,5,0.6,0.51,5,0.0192,6568800
3,0.6,0.057,0.8,4,0.7,0.51,5,0.0247,7092000
3,0.62,0.057,0.5,4,1,0.63,5,0.0262,7085400
3,0.6,0.057,0.8,4,1,0.63,5,0.0231,6999000
3,0.57,0.057,0.8,4,0.7,0.63,6,0.0231,7116000
3,0.62,0.057,0.5,4,0.9,0.51,6,0.0202,7030500
3,0.62,0.057,0.5,4,1,0.54,6,0.0208,7064100
3,0.65,0.057,0.8,4,0.3,0.63,6,0.0219,7109400
17,0.6,0.057,0.8,4,1,0.63,6,0.016,6360300
21,0.65,0.057,0.8,4,0.7,0.51,6,0.0145,6298200
36,0.6,0.057,0.8,4,0.7,0.51,6,0.0114,6275700
30,0.65,0.057,0.8,4,1,0.63,6,0.0206,5874300
3,0.62,0.057,0.5,4,0.6,0.63,6,0.0256,7095600
3,0.6,0.057,0.6,4,0.7,0.51,6,0.0232,7086300
3,0.6,0.057,0.8,4,0.7,0.51,6,0.023,7065300
3,0.62,0.057,0.5,4,1,0.63,6,0.0196,7081200
3,0.57,0.057,0.5,2,0.7,0.63,7,0.022,7088400
3,0.62,0.057,0.8,4,0.6,0.63,7,0.0241,7013700
3,0.57,0.057,0.8,4,0.4,0.63,7,0.0192,7086000
3,0.62,0.267,0.5,4,0.7,0.63,7,0.0258,6178500
3,0.65,0.057,0.8,4,0.2,0.63,7,0.0217,7128300
3,0.63,0.057,0.5,4,0.3,0.63,7,0.0208,7083300
3,0.62,0.057,0.5,4,0.6,0.63,7,0.0207,6997500
3,0.57,0.085,0.8,4,0.6,0.63,7,0.0246,7002900
3,0.62,0.057,0.8,4,0.7,0.63,7,0.0277,6999300
3,0.57,0.123,0.5,4,0.6,0.63,7,0.0264,6960600
3,0.57,0.057,0.8,4,0.7,0.63,7,0.0243,7005600
